,Match ID,Venue,Innings,Bowling Side,Batting Side,Batter,Winner,Non Striker,Bowler,Ball,Batter Runs,Extra Runs,Run scored,Ball Rebowled,Extra Type,Method,Player Out,Current Score,Target Score,Required Runs,Balls Remaining,Wickets Left,RR,CR,Result
138742,350476,SuperSport Park,2,South Africa,Australia,DJ Hussey,South Africa,CL White,RE van der Merwe,4,0,0,0,0,[],caught,DJ Hussey,101,157,56.0,32,5,10.5,6.886363636363637,0
138750,350476,SuperSport Park,2,South Africa,Australia,CL White,South Africa,BJ Haddin,J Botha,6,0,0,0,0,[],caught,CL White,106,157,51.0,24,4,12.75,6.625,0
138771,350476,SuperSport Park,2,South Africa,Australia,JR Hopes,South Africa,BJ Haddin,J Louw,2,0,0,0,0,[],caught,JR Hopes,131,157,26.0,4,3,39.0,6.775862068965518,0
138774,350476,SuperSport Park,2,South Africa,Australia,NW Bracken,South Africa,BJ Haddin,J Louw,5,0,0,0,0,[],caught,NW Bracken,138,157,19.0,1,2,114.0,6.957983193277311,0
138903,1298151,Bellerive Oval,2,Bangladesh,Netherlands,Vikramjit Singh,Bangladesh,MP O'Dowd,Taskin Ahmed,1,0,0,0,0,[],caught,Vikramjit Singh,0,145,145.0,119,9,7.310924369747898,0.0,0
138904,1298151,Bellerive Oval,2,Bangladesh,Netherlands,BFW de Leede,Bangladesh,MP O'Dowd,Taskin Ahmed,2,0,0,0,0,[],caught,BFW de Leede,0,145,145.0,118,8,7.372881355932204,0.0,0
138922,1298151,Bellerive Oval,2,Bangladesh,Netherlands,MP O'Dowd,Bangladesh,CN Ackermann,Shakib Al Hasan,2,1,0,1,0,[],run out,MP O'Dowd,13,145,132.0,100,7,7.92,3.9000000000000004,0
138924,1298151,Bellerive Oval,2,Bangladesh,Netherlands,CN Ackermann,Bangladesh,TLW Cooper,Shakib Al Hasan,4,2,0,2,0,[],run out,TLW Cooper,15,145,130.0,98,6,7.959183673469387,4.090909090909091,0
138971,1298151,Bellerive Oval,2,Bangladesh,Netherlands,SA Edwards,Bangladesh,CN Ackermann,Shakib Al Hasan,3,0,0,0,0,[],caught,SA Edwards,59,145,86.0,51,5,10.117647058823529,5.130434782608695,0
138978,1298151,Bellerive Oval,2,Bangladesh,Netherlands,TJG Pringle,Bangladesh,CN Ackermann,Hasan Mahmud,4,0,0,0,0,[],bowled,TJG Pringle,66,145,79.0,44,4,10.772727272727273,5.210526315789474,0
138989,1298151,Bellerive Oval,2,Bangladesh,Netherlands,LV van Beek,Bangladesh,CN Ackermann,Hasan Mahmud,2,0,0,0,0,[],caught,LV van Beek,81,145,64.0,34,3,11.294117647058822,5.651162790697675,0
139002,1298151,Bellerive Oval,2,Bangladesh,Netherlands,Shariz Ahmad,Bangladesh,CN Ackermann,Taskin Ahmed,2,0,0,0,0,[],caught,Shariz Ahmad,96,145,49.0,22,2,13.363636363636363,5.877551020408163,0
139005,1298151,Bellerive Oval,2,Bangladesh,Netherlands,CN Ackermann,Bangladesh,FJ Klaassen,Taskin Ahmed,5,0,0,0,0,[],caught,CN Ackermann,101,145,44.0,19,1,13.894736842105264,6.0,0
139590,951329,Vidarbha Cricket Association Stadium,2,New Zealand,India,S Dhawan,New Zealand,RG Sharma,NL McCullum,5,0,0,0,0,[],lbw,S Dhawan,5,127,122.0,115,9,6.365217391304348,6.0,0
139599,951329,Vidarbha Cricket Association Stadium,2,New Zealand,India,RG Sharma,New Zealand,V Kohli,MJ Santner,2,0,0,0,0,[],stumped,RG Sharma,10,127,117.0,106,8,6.622641509433963,4.285714285714286,0
139602,951329,Vidarbha Cricket Association Stadium,2,New Zealand,India,SK Raina,New Zealand,V Kohli,MJ Santner,5,0,0,0,0,[],caught,SK Raina,12,127,115.0,103,7,6.699029126213592,4.235294117647059,0
139614,951329,Vidarbha Cricket Association Stadium,2,New Zealand,India,Yuvraj Singh,New Zealand,V Kohli,NL McCullum,5,0,0,0,0,[],caught and bowled,Yuvraj Singh,26,127,101.0,91,6,6.65934065934066,5.379310344827586,0
139636,951329,Vidarbha Cricket Association Stadium,2,New Zealand,India,V Kohli,New Zealand,MS Dhoni,IS Sodhi,1,0,0,0,0,[],caught,V Kohli,39,127,88.0,71,5,7.436619718309858,4.775510204081632,0
139645,951329,Vidarbha Cricket Association Stadium,2,New Zealand,India,HH Pandya,New Zealand,MS Dhoni,MJ Santner,4,0,0,0,0,[],lbw,HH Pandya,42,127,85.0,62,4,8.225806451612902,4.344827586206897,0
139649,951329,Vidarbha Cricket Association Stadium,2,New Zealand,India,RA Jadeja,New Zealand,MS Dhoni,IS Sodhi,2,0,0,0,0,[],caught and bowled,RA Jadeja,43,127,84.0,58,3,8.689655172413794,4.161290322580646,0
139686,951329,Vidarbha Cricket Association Stadium,2,New Zealand,India,R Ashwin,New Zealand,MS Dhoni,IS Sodhi,3,0,0,0,0,[],stumped,R Ashwin,73,127,54.0,21,2,15.42857142857143,4.424242424242424,0
139695,951329,Vidarbha Cricket Association Stadium,2,New Zealand,India,MS Dhoni,New Zealand,A Nehra,MJ Santner,4,0,0,0,0,[],caught,MS Dhoni,79,127,48.0,14,1,20.57142857142857,4.471698113207546,0
139698,951329,Vidarbha Cricket Association Stadium,2,New Zealand,India,A Nehra,New Zealand,JJ Bumrah,AF Milne,1,0,0,0,0,[],bowled,A Nehra,79,127,48.0,11,0,26.18181818181818,4.348623853211009,0
140786,1273733,Dubai International Cricket Stadium,2,Sri Lanka,Australia,AJ Finch,Australia,DA Warner,PWH de Silva,5,0,0,0,0,[],bowled,AJ Finch,70,155,85.0,79,9,6.455696202531645,10.24390243902439,1
140796,1273733,Dubai International Cricket Stadium,2,Sri Lanka,Australia,GJ Maxwell,Australia,DA Warner,PWH de Silva,3,0,0,0,0,[],caught,GJ Maxwell,80,155,75.0,69,8,6.521739130434782,9.411764705882353,1
140837,1273733,Dubai International Cricket Stadium,2,Sri Lanka,Australia,DA Warner,Australia,SPD Smith,MD Shanaka,6,0,0,0,0,[],caught,DA Warner,130,155,25.0,30,7,5.0,8.666666666666666,1
140976,966735,Khan Shaheb Osman Ali Stadium,2,Oman,Hong Kong,KD Shah,Oman,Anshuman Rath,Bilal Khan,5,0,0,0,0,[],caught,KD Shah,5,181,176.0,115,9,9.182608695652174,6.0,0
141014,966735,Khan Shaheb Osman Ali Stadium,2,Oman,Hong Kong,Anshuman Rath,Oman,Babar Hayat,Amir Ali,1,0,0,0,0,[],stumped,Anshuman Rath,63,181,118.0,77,8,9.194805194805195,8.790697674418604,0
141024,966735,Khan Shaheb Osman Ali Stadium,2,Oman,Hong Kong,MS Chapman,Oman,Babar Hayat,Aamir Kaleem,5,1,0,1,0,[],run out,MS Chapman,77,181,104.0,67,7,9.313432835820896,8.716981132075471,0
141026,966735,Khan Shaheb Osman Ali Stadium,2,Oman,Hong Kong,Nizakat Khan,Oman,Babar Hayat,Zeeshan Maqsood,1,0,0,0,0,[],stumped,Nizakat Khan,77,181,104.0,65,6,9.600000000000001,8.399999999999999,0
141045,966735,Khan Shaheb Osman Ali Stadium,2,Oman,Hong Kong,Tanwir Afzal,Oman,Babar Hayat,M Ansari,2,0,0,0,0,[],caught,Tanwir Afzal,104,181,77.0,46,5,10.043478260869566,8.432432432432433,0
141069,966735,Khan Shaheb Osman Ali Stadium,2,Oman,Hong Kong,Babar Hayat,Oman,Aizaz Khan,M Ansari,2,0,0,0,0,[],run out,Aizaz Khan,133,181,48.0,22,4,13.09090909090909,8.142857142857142,0
141089,966735,Khan Shaheb Osman Ali Stadium,2,Oman,Hong Kong,Babar Hayat,Oman,Waqas Khan,AV Lalcheta,4,0,0,0,0,[],caught,Babar Hayat,170,181,11.0,2,3,33.0,8.64406779661017,0
141484,1050221,Sheikh Zayed Stadium,2,West Indies,Pakistan,Sharjeel Khan,Pakistan,Khalid Latif,KOK Williams,1,0,0,0,0,[],caught,Sharjeel Khan,36,104,68.0,89,9,4.584269662921348,6.967741935483872,1
141490,1050221,Sheikh Zayed Stadium,2,West Indies,Pakistan,Khalid Latif,Pakistan,Babar Azam,KOK Williams,6,0,0,0,0,[],bowled,Khalid Latif,40,104,64.0,84,8,4.571428571428571,6.666666666666667,1
141671,1150143,Bready Cricket Club,2,Afghanistan,Ireland,SR Thompson,Afghanistan,PR Stirling,Mujeeb Ur Rahman,3,0,0,0,0,[],bowled,SR Thompson,12,161,149.0,111,9,8.054054054054054,8.0,0
141687,1150143,Bready Cricket Club,2,Afghanistan,Ireland,WTS Porterfield,Afghanistan,PR Stirling,Mujeeb Ur Rahman,6,0,0,0,0,[],caught,WTS Porterfield,31,161,130.0,96,8,8.125,7.75,0
141703,1150143,Bready Cricket Club,2,Afghanistan,Ireland,PR Stirling,Afghanistan,KJ O'Brien,Fareed Ahmad,4,0,0,0,0,[],caught,PR Stirling,47,161,114.0,80,7,8.55,7.050000000000001,0
141709,1150143,Bready Cricket Club,2,Afghanistan,Ireland,KJ O'Brien,Afghanistan,GC Wilson,Mohammad Nabi,4,0,0,0,0,[],caught,KJ O'Brien,55,161,106.0,74,6,8.594594594594595,7.173913043478261,0
141733,1150143,Bready Cricket Club,2,Afghanistan,Ireland,A Balbirnie,Afghanistan,GC Wilson,Rashid Khan,4,0,0,0,0,[],lbw,A Balbirnie,88,161,73.0,50,5,8.76,7.542857142857143,0
141737,1150143,Bready Cricket Club,2,Afghanistan,Ireland,GC Wilson,Afghanistan,Simi Singh,Aftab Alam,2,0,0,0,0,[],caught,GC Wilson,90,161,71.0,46,4,9.26086956521739,7.297297297297297,0
141766,1150143,Bready Cricket Club,2,Afghanistan,Ireland,Simi Singh,Afghanistan,GH Dockrell,Aftab Alam,6,0,0,0,0,[],caught,Simi Singh,131,161,30.0,18,3,10.0,7.7058823529411775,0
141767,1150143,Bready Cricket Club,2,Afghanistan,Ireland,J Little,Afghanistan,GH Dockrell,Rashid Khan,1,0,0,0,0,[],bowled,J Little,131,161,30.0,17,2,10.588235294117647,7.63106796116505,0
141770,1150143,Bready Cricket Club,2,Afghanistan,Ireland,TE Kane,Afghanistan,GH Dockrell,Rashid Khan,4,0,0,0,0,[],caught,TE Kane,139,161,22.0,14,1,9.428571428571429,7.867924528301887,0
142183,1310939,Queens Sports Club,2,Zimbabwe,Namibia,D la Cock,Namibia,CG Williams,LM Jongwe,5,0,0,0,0,[],caught,D la Cock,26,123,97.0,85,9,6.847058823529411,4.457142857142857,1
142232,1310939,Queens Sports Club,2,Zimbabwe,Namibia,MG Erasmus,Namibia,CG Williams,TL Chatara,4,0,0,0,0,[],bowled,MG Erasmus,91,123,32.0,38,8,5.052631578947368,6.658536585365854,1
143000,1298147,Sydney Cricket Ground,2,New Zealand,Australia,DA Warner,New Zealand,AJ Finch,TG Southee,1,0,0,0,0,[],bowled,DA Warner,5,201,196.0,113,9,10.4070796460177,4.285714285714286,0
143017,1298147,Sydney Cricket Ground,2,New Zealand,Australia,AJ Finch,New Zealand,MR Marsh,MJ Santner,6,0,0,0,0,[],caught,AJ Finch,30,201,171.0,96,8,10.6875,7.5,0
143022,1298147,Sydney Cricket Ground,2,New Zealand,Australia,MR Marsh,New Zealand,GJ Maxwell,TG Southee,5,0,0,0,0,[],caught,MR Marsh,34,201,167.0,91,7,11.010989010989011,7.034482758620689,0
143043,1298147,Sydney Cricket Ground,2,New Zealand,Australia,MP Stoinis,New Zealand,GJ Maxwell,MJ Santner,2,0,0,0,0,[],caught,MP Stoinis,50,201,151.0,70,6,12.942857142857143,6.0,0
143055,1298147,Sydney Cricket Ground,2,New Zealand,Australia,TH David,New Zealand,GJ Maxwell,MJ Santner,2,0,0,0,0,[],caught,TH David,68,201,133.0,58,5,13.758620689655173,6.580645161290322,0
143067,1298147,Sydney Cricket Ground,2,New Zealand,Australia,MS Wade,New Zealand,GJ Maxwell,LH Ferguson,2,0,0,0,0,[],caught,MS Wade,82,201,119.0,46,4,15.521739130434781,6.648648648648649,0
143075,1298147,Sydney Cricket Ground,2,New Zealand,Australia,GJ Maxwell,New Zealand,PJ Cummins,IS Sodhi,3,0,0,0,0,[],bowled,GJ Maxwell,89,201,112.0,39,3,17.23076923076923,6.592592592592593,0
143092,1298147,Sydney Cricket Ground,2,New Zealand,Australia,MA Starc,New Zealand,PJ Cummins,TA Boult,1,0,0,0,0,[],bowled,MA Starc,109,201,92.0,23,2,24.0,6.742268041237113,0
143094,1298147,Sydney Cricket Ground,2,New Zealand,Australia,A Zampa,New Zealand,PJ Cummins,TA Boult,3,0,0,0,0,[],bowled,A Zampa,109,201,92.0,21,1,26.28571428571429,6.6060606060606055,0
143098,1298147,Sydney Cricket Ground,2,New Zealand,Australia,PJ Cummins,New Zealand,JR Hazlewood,TG Southee,1,0,0,0,0,[],caught,PJ Cummins,111,201,90.0,17,0,31.764705882352942,6.466019417475728,0
143231,1280062,ICC Academy,2,Ireland,United Arab Emirates,Chirag Suri,United Arab Emirates,Waseem Muhammad,Simi Singh,3,0,0,0,0,[],caught,Chirag Suri,7,135,128.0,111,9,6.918918918918919,4.666666666666667,1
143257,1280062,ICC Academy,2,Ireland,United Arab Emirates,V Aravind,United Arab Emirates,Waseem Muhammad,CA Young,4,0,0,0,0,[],caught,V Aravind,39,135,96.0,86,8,6.697674418604651,6.88235294117647,1
143320,1280062,ICC Academy,2,Ireland,United Arab Emirates,Muhammad Usman,United Arab Emirates,Waseem Muhammad,CA Young,4,0,0,0,0,[],bowled,Muhammad Usman,131,135,4.0,26,7,0.9230769230769231,8.361702127659575,1
143466,1145984,Rajiv Gandhi International Cricket Stadium,2,Afghanistan,Bangladesh,Tamim Iqbal,Afghanistan,Liton Das,Mujeeb Ur Rahman,4,0,0,0,0,[],caught,Tamim Iqbal,16,146,130.0,104,9,7.5,6.0,0
143482,1145984,Rajiv Gandhi International Cricket Stadium,2,Afghanistan,Bangladesh,Liton Das,Afghanistan,Soumya Sarkar,Mohammad Nabi,2,0,0,0,0,[],run out,Soumya Sarkar,32,146,114.0,88,8,7.7727272727272725,6.0,0
143485,1145984,Rajiv Gandhi International Cricket Stadium,2,Afghanistan,Bangladesh,Mushfiqur Rahim,Afghanistan,Liton Das,Mohammad Nabi,5,0,0,0,0,[],run out,Liton Das,35,146,111.0,85,7,7.835294117647059,6.0,0
143503,1145984,Rajiv Gandhi International Cricket Stadium,2,Afghanistan,Bangladesh,Shakib Al Hasan,Afghanistan,Mushfiqur Rahim,Karim Janat,3,0,0,0,0,[],caught,Shakib Al Hasan,53,146,93.0,69,6,8.08695652173913,6.23529411764706,0
143567,1145984,Rajiv Gandhi International Cricket Stadium,2,Afghanistan,Bangladesh,Mushfiqur Rahim,Afghanistan,Mahmudullah,Rashid Khan,1,0,0,0,0,[],caught,Mushfiqur Rahim,137,146,9.0,5,5,10.8,7.147826086956522,0
143698,406207,Melbourne Cricket Ground,2,Australia,Pakistan,Imran Nazir,Australia,Imran Farhat,DP Nannes,5,0,0,0,0,[],run out,Imran Nazir,5,128,123.0,109,9,6.770642201834862,2.727272727272727,0
143703,406207,Melbourne Cricket Ground,2,Australia,Pakistan,Imran Farhat,Australia,Kamran Akmal,SW Tait,4,0,0,0,0,[],caught,Imran Farhat,10,128,118.0,104,8,6.8076923076923075,3.75,0
143721,406207,Melbourne Cricket Ground,2,Australia,Pakistan,Khalid Latif,Australia,Kamran Akmal,SR Watson,3,0,0,0,0,[],lbw,Khalid Latif,44,128,84.0,87,7,5.793103448275862,8.0,0
143740,406207,Melbourne Cricket Ground,2,Australia,Pakistan,Shoaib Malik,Australia,Kamran Akmal,SW Tait,4,0,0,0,0,[],caught,Shoaib Malik,59,128,69.0,68,6,6.088235294117647,6.8076923076923075,0
143773,406207,Melbourne Cricket Ground,2,Australia,Pakistan,Kamran Akmal,Australia,Umar Akmal,SW Tait,1,0,0,0,0,[],caught,Kamran Akmal,98,128,30.0,35,5,5.142857142857142,6.917647058823529,0
143781,406207,Melbourne Cricket Ground,2,Australia,Pakistan,Fawad Alam,Australia,Umar Akmal,SPD Smith,3,0,0,0,0,[],caught,Fawad Alam,103,128,25.0,27,4,5.555555555555555,6.64516129032258,0
143792,406207,Melbourne Cricket Ground,2,Australia,Pakistan,Naved-ul-Hasan,Australia,Umar Akmal,SPD Smith,2,0,0,0,0,[],stumped,Naved-ul-Hasan,107,128,21.0,16,3,7.875,6.1730769230769225,0
143802,406207,Melbourne Cricket Ground,2,Australia,Pakistan,Umar Gul,Australia,Umar Akmal,DP Nannes,6,0,0,0,0,[],bowled,Umar Gul,118,128,10.0,6,2,10.0,6.210526315789474,0
143803,406207,Melbourne Cricket Ground,2,Australia,Pakistan,Umar Akmal,Australia,Saeed Ajmal,SR Watson,1,0,0,0,0,[],caught,Umar Akmal,118,128,10.0,5,1,12.0,6.156521739130435,0
144376,1339615,Gaddafi Stadium,2,Pakistan,New Zealand,TWM Latham,Pakistan,CJ Bowes,Shadab Khan,2,0,0,0,0,[],lbw,TWM Latham,44,193,149.0,82,9,10.902439024390244,6.947368421052632,0
144385,1339615,Gaddafi Stadium,2,Pakistan,New Zealand,CJ Bowes,Pakistan,WA Young,Imad Wasim,5,0,0,0,0,[],bowled,CJ Bowes,52,193,141.0,73,8,11.58904109589041,6.638297872340425,0
144408,1339615,Gaddafi Stadium,2,Pakistan,New Zealand,WA Young,Pakistan,MS Chapman,Haris Rauf,4,0,0,0,0,[],caught,WA Young,85,193,108.0,50,7,12.96,7.285714285714285,0
144423,1339615,Gaddafi Stadium,2,Pakistan,New Zealand,DJ Mitchell,Pakistan,MS Chapman,Haris Rauf,1,0,0,0,0,[],caught,DJ Mitchell,108,193,85.0,35,6,14.57142857142857,7.623529411764705,0
144428,1339615,Gaddafi Stadium,2,Pakistan,New Zealand,JDS Neesham,Pakistan,MS Chapman,Haris Rauf,6,0,0,0,0,[],caught,JDS Neesham,112,193,81.0,30,5,16.200000000000003,7.466666666666667,0
144442,1339615,Gaddafi Stadium,2,Pakistan,New Zealand,R Ravindra,Pakistan,MS Chapman,Haris Rauf,2,0,0,0,0,[],caught,R Ravindra,131,193,62.0,16,4,23.25,7.5576923076923075,0
144456,1339615,Gaddafi Stadium,2,Pakistan,New Zealand,CE McConchie,Pakistan,MS Chapman,Zaman Khan,4,0,0,0,0,[],bowled,CE McConchie,147,193,46.0,2,3,138.0,7.474576271186441,0
144829,1377015,Sylhet International Cricket Stadium,2,Afghanistan,Bangladesh,Rony Talukdar,Bangladesh,Liton Das,Fazalhaq Farooqi,6,0,0,0,0,[],bowled,Rony Talukdar,5,155,150.0,114,9,7.894736842105264,5.0,1
144854,1377015,Sylhet International Cricket Stadium,2,Afghanistan,Bangladesh,Nazmul Hossain Shanto,Bangladesh,Liton Das,Mujeeb Ur Rahman,1,0,0,0,0,[],bowled,Nazmul Hossain Shanto,30,155,125.0,89,8,8.426966292134832,5.806451612903226,1
144863,1377015,Sylhet International Cricket Stadium,2,Afghanistan,Bangladesh,Liton Das,Bangladesh,Shakib Al Hasan,Azmatullah Omarzai,3,0,0,0,0,[],caught,Liton Das,39,155,116.0,81,7,8.592592592592592,6.0,1
144885,1377015,Sylhet International Cricket Stadium,2,Afghanistan,Bangladesh,Shakib Al Hasan,Bangladesh,Towhid Hridoy,Fareed Ahmad,1,0,0,0,0,[],caught,Shakib Al Hasan,64,155,91.0,59,6,9.254237288135593,6.295081967213115,1
144932,1377015,Sylhet International Cricket Stadium,2,Afghanistan,Bangladesh,Shamim Hossain,Bangladesh,Towhid Hridoy,Rashid Khan,2,0,0,0,0,[],caught,Shamim Hossain,137,155,18.0,16,5,6.75,7.903846153846153,1
144944,1377015,Sylhet International Cricket Stadium,2,Afghanistan,Bangladesh,Mehedi Hasan Miraz,Bangladesh,Towhid Hridoy,Karim Janat,2,0,0,0,0,[],caught,Mehedi Hasan Miraz,153,155,2.0,4,4,3.0,7.913793103448276,1
144945,1377015,Sylhet International Cricket Stadium,2,Afghanistan,Bangladesh,Taskin Ahmed,Bangladesh,Towhid Hridoy,Karim Janat,3,0,0,0,0,[],caught,Taskin Ahmed,153,155,2.0,3,3,4.0,7.846153846153847,1
144946,1377015,Sylhet International Cricket Stadium,2,Afghanistan,Bangladesh,Nasum Ahmed,Bangladesh,Towhid Hridoy,Karim Janat,4,0,0,0,0,[],caught,Nasum Ahmed,153,155,2.0,2,2,6.0,7.779661016949153,1
145095,1197526,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2,Ireland,Nepal,P Khadka,Ireland,I Pandey,MR Adair,1,0,0,0,0,[],caught,P Khadka,35,146,111.0,95,9,7.010526315789474,8.399999999999999,0
145133,1197526,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2,Ireland,Nepal,I Pandey,Ireland,Aarif Sheikh,GJ Delany,6,0,0,0,0,[],caught,I Pandey,73,146,73.0,60,8,7.299999999999999,7.299999999999999,0
145163,1197526,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2,Ireland,Nepal,DS Airee,Ireland,Aarif Sheikh,GH Dockrell,5,0,0,0,0,[],caught and bowled,DS Airee,100,146,46.0,31,7,8.903225806451612,6.741573033707866,0
145165,1197526,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2,Ireland,Nepal,B Bhandari,Ireland,Aarif Sheikh,MR Adair,1,0,0,0,0,[],run out,B Bhandari,101,146,45.0,29,6,9.310344827586206,6.65934065934066,0
145166,1197526,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2,Ireland,Nepal,Aarif Sheikh,Ireland,S Jora,MR Adair,2,0,0,0,0,[],caught,Aarif Sheikh,101,146,45.0,28,5,9.642857142857142,6.586956521739131,0
145175,1197526,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2,Ireland,Nepal,Sompal Kami,Ireland,S Jora,GH Dockrell,4,0,0,0,0,[],caught,Sompal Kami,111,146,35.0,20,4,10.5,6.66,0
145177,1197526,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2,Ireland,Nepal,S Jora,Ireland,Karan KC,GH Dockrell,5,0,0,0,0,[],caught,S Jora,112,146,34.0,19,3,10.736842105263158,6.653465346534654,0
145182,1197526,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2,Ireland,Nepal,S Lamichhane,Ireland,Karan KC,GJ Delany,4,0,0,0,0,[],caught,S Lamichhane,116,146,30.0,14,2,12.857142857142858,6.566037735849056,0
145193,1197526,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2,Ireland,Nepal,Karan KC,Ireland,LN Rajbanshi,MR Adair,3,0,0,0,0,[],caught,Karan KC,131,146,15.0,3,1,30.0,6.717948717948718,0
145195,1197526,Al Amerat Cricket Ground Oman Cricket (Ministry Turf 1),2,Ireland,Nepal,LN Rajbanshi,Ireland,A Bohara,MR Adair,5,1,0,1,0,[],run out,LN Rajbanshi,132,146,14.0,1,0,84.0,6.65546218487395,0
145608,560921,Central Broward Regional Park Stadium Turf Ground,2,West Indies,New Zealand,MJ Guptill,West Indies,RJ Nicol,SP Narine,1,0,1,1,1,['wides'],stumped,MJ Guptill,38,210,172.0,96,9,10.75,9.5,0
145621,560921,Central Broward Regional Park Stadium Turf Ground,2,West Indies,New Zealand,LRPL Taylor,West Indies,RJ Nicol,S Badree,6,1,0,1,0,[],retired hurt,LRPL Taylor,51,210,159.0,84,8,11.357142857142858,8.5,0
145642,560921,Central Broward Regional Park Stadium Turf Ground,2,West Indies,New Zealand,KS Williamson,West Indies,RJ Nicol,DJG Sammy,3,0,0,0,0,[],caught and bowled,KS Williamson,72,210,138.0,63,7,13.142857142857144,7.578947368421052,0
145653,560921,Central Broward Regional Park Stadium Turf Ground,2,West Indies,New Zealand,RJ Nicol,West Indies,TG Southee,DJ Bravo,1,0,0,0,0,[],caught,RJ Nicol,84,210,126.0,53,6,14.264150943396226,7.522388059701493,0
145676,560921,Central Broward Regional Park Stadium Turf Ground,2,West Indies,New Zealand,TG Southee,West Indies,TWM Latham,SP Narine,5,0,0,0,0,[],stumped,TG Southee,114,210,96.0,31,5,18.58064516129032,7.685393258426966,0
145679,560921,Central Broward Regional Park Stadium Turf Ground,2,West Indies,New Zealand,JDP Oram,West Indies,TWM Latham,FH Edwards,2,0,0,0,0,[],run out,TWM Latham,115,210,95.0,28,4,20.357142857142858,7.5,0
145682,560921,Central Broward Regional Park Stadium Turf Ground,2,West Indies,New Zealand,DG Brownlie,West Indies,JDP Oram,FH Edwards,5,0,0,0,0,[],run out,DG Brownlie,116,210,94.0,25,3,22.56,7.326315789473684,0
145686,560921,Central Broward Regional Park Stadium Turf Ground,2,West Indies,New Zealand,NL McCullum,West Indies,JDP Oram,SP Narine,3,0,0,0,0,[],lbw,NL McCullum,124,210,86.0,21,2,24.57142857142857,7.515151515151516,0
145698,560921,Central Broward Regional Park Stadium Turf Ground,2,West Indies,New Zealand,JDP Oram,West Indies,DAJ Bracewell,FH Edwards,3,0,0,0,0,[],caught,JDP Oram,153,210,57.0,9,1,38.0,8.27027027027027,0
146687,1273271,Grange Cricket Club Ground,2,Scotland,Zimbabwe,W Madhevere,Scotland,T Marumani,SM Sharif,1,0,0,0,0,[],caught,W Madhevere,0,142,142.0,119,9,7.159663865546218,0.0,0
146700,1273271,Grange Cricket Club Ground,2,Scotland,Zimbabwe,T Marumani,Scotland,RW Chakabva,SM Sharif,2,0,0,0,0,[],caught,T Marumani,5,142,137.0,106,8,7.754716981132075,2.142857142857143,0
146743,1273271,Grange Cricket Club Ground,2,Scotland,Zimbabwe,RW Chakabva,Scotland,CR Ervine,MRJ Watt,4,0,0,0,0,[],lbw,RW Chakabva,53,142,89.0,68,7,7.852941176470589,6.115384615384615,0
146754,1273271,Grange Cricket Club Ground,2,Scotland,Zimbabwe,CR Ervine,Scotland,SC Williams,OJ Hairs,3,0,0,0,0,[],caught,CR Ervine,58,142,84.0,57,6,8.842105263157894,5.523809523809524,0
146792,1273271,Grange Cricket Club Ground,2,Scotland,Zimbabwe,SC Williams,Scotland,M Shumba,AC Evans,4,0,0,0,0,[],caught,SC Williams,112,142,30.0,20,5,9.0,6.720000000000001,0
146799,1273271,Grange Cricket Club Ground,2,Scotland,Zimbabwe,RP Burl,Scotland,M Shumba,SM Sharif,5,0,0,0,0,[],bowled,RP Burl,122,142,20.0,13,4,9.230769230769232,6.841121495327102,0
146803,1273271,Grange Cricket Club Ground,2,Scotland,Zimbabwe,LM Jongwe,Scotland,M Shumba,CB Sole,3,0,0,0,0,[],caught,LM Jongwe,125,142,17.0,9,3,11.333333333333332,6.756756756756757,0
146809,1273271,Grange Cricket Club Ground,2,Scotland,Zimbabwe,WP Masakadza,Scotland,M Shumba,SM Sharif,3,0,0,0,0,[],bowled,WP Masakadza,133,142,9.0,3,2,18.0,6.82051282051282,0
146810,1273271,Grange Cricket Club Ground,2,Scotland,Zimbabwe,TL Chatara,Scotland,M Shumba,SM Sharif,4,0,0,0,0,[],run out,TL Chatara,133,142,9.0,2,1,27.0,6.76271186440678,0
147102,1263158,Darren Sammy National Cricket Stadium,2,Australia,West Indies,ADS Fletcher,West Indies,LMP Simmons,MA Starc,3,0,0,0,0,[],caught,ADS Fletcher,4,142,138.0,117,9,7.076923076923077,8.0,1
147130,1263158,Darren Sammy National Cricket Stadium,2,Australia,West Indies,LMP Simmons,West Indies,CH Gayle,RP Meredith,1,0,0,0,0,[],caught,LMP Simmons,42,142,100.0,89,8,6.741573033707866,8.129032258064516,1
147175,1263158,Darren Sammy National Cricket Stadium,2,Australia,West Indies,CH Gayle,West Indies,N Pooran,RP Meredith,6,0,0,0,0,[],caught,CH Gayle,109,142,33.0,48,7,4.125,9.083333333333332,1
147188,1263158,Darren Sammy National Cricket Stadium,2,Australia,West Indies,DJ Bravo,West Indies,N Pooran,RP Meredith,1,0,0,0,0,[],caught,DJ Bravo,124,142,18.0,35,6,3.0857142857142854,8.752941176470587,1
